Animal Type,Animal Name,Speed_kmh,Weight_kg,Continent,Country,Lifespan,Migration,Reproduction,Threat Level
Bird,Falcon,57,55,Asia,Germany,85,Yes,Live,Critical
Bird,Peacock,79,237,Europe,Canada,22,Yes,Live,High
Mammal,Elephant,111,182,Australia,USA,82,Yes,Eggs,Medium
Reptile,Anaconda,59,100,America,Russia,67,No,Eggs,Low
Insect,Wasp,102,403,Asia,India,19,Yes,Eggs,High
Reptile,Crocodile,34,37,Africa,Brazil,42,Yes,Eggs,Medium
Bird,Pigeon,114,59,Asia,India,93,No,Live,Medium
Reptile,Boa,118,180,Africa,Canada,66,No,Live,High
Insect,Mosquito,71,481,Africa,USA,73,Yes,Eggs,High
Bird,Pelican,14,46,America,Germany,20,No,Live,Medium
Insect,Cricket,4,400,Australia,Kenya,29,No,Eggs,Critical
Reptile,Skink,68,186,America,Canada,30,Yes,Eggs,Medium
Insect,Scorpion,3,102,Asia,India,27,No,Eggs,Critical
Mammal,Leopard,59,340,Africa,Brazil,70,No,Live,Medium
Mammal,Rhino,66,14,Africa,India,51,Yes,Live,Medium
Fish,Anchovy,115,5,America,China,9,No,Eggs,High
Bird,Eagle,92,289,Australia,Canada,66,Yes,Live,Medium
Bird,Pigeon,55,496,Australia,Canada,16,No,Eggs,Medium
Insect,Cockroach,4,270,Europe,Canada,78,No,Live,Critical
Fish,Mackerel,10,72,Asia,Egypt,81,Yes,Live,High
Insect,Moth,110,489,America,Germany,55,Yes,Eggs,High
Reptile,Anaconda,98,388,Africa,Egypt,82,Yes,Live,Low
Fish,Goldfish,107,335,America,China,37,No,Live,Critical
Mammal,Leopard,105,359,Australia,Germany,13,Yes,Live,Low
Mammal,Elephant,58,282,Africa,Russia,25,No,Eggs,Low
Mammal,Kangaroo,47,442,Asia,USA,26,Yes,Eggs,High
Reptile,GilaMonster,106,294,Africa,Kenya,14,Yes,Eggs,Critical
Mammal,Rhino,52,396,Asia,India,2,Yes,Live,Critical
Insect,Horsefly,108,163,Europe,India,51,No,Live,Medium
Insect,Termite,33,200,Africa,Canada,57,Yes,Live,Critical
Bird,Hawk,26,40,Africa,India,83,No,Eggs,High
Reptile,Python,54,193,Australia,Australia,18,No,Live,Critical
Mammal,Jaguar,110,324,Europe,Russia,27,Yes,Live,Medium
Fish,Herring,31,193,America,Brazil,100,No,Eggs,Critical
Reptile,Tortoise,16,155,America,USA,82,No,Live,Critical
Insect,Moth,27,216,Africa,China,43,No,Live,Low
Insect,Beetle,30,294,Africa,Kenya,25,Yes,Live,High
Mammal,Lion,28,304,Australia,Canada,17,No,Eggs,Low
Insect,Tick,88,478,Europe,Brazil,88,Yes,Live,Medium
Fish,Swordfish,69,304,America,Russia,12,Yes,Eggs,Low
Mammal,Cheetah,4,482,Australia,Egypt,88,No,Live,Critical
Mammal,Tiger,35,427,Australia,China,25,No,Live,Medium
Insect,Grasshopper,38,447,Europe,China,9,No,Live,High
Fish,Bass,96,339,Australia,Kenya,96,No,Live,Medium
Mammal,Bison,50,267,Europe,Russia,64,No,Eggs,High
Insect,Dragonfly,104,361,Europe,Russia,77,Yes,Live,Low
Mammal,Tiger,93,406,Europe,USA,4,No,Eggs,High
Insect,Ladybug,58,245,America,China,41,Yes,Eggs,Critical
Bird,Goose,55,157,Africa,India,97,Yes,Live,Critical
Mammal,Lion,89,276,America,Egypt,30,No,Live,Critical
Fish,Goldfish,117,25,Africa,Russia,18,No,Live,Medium
Reptile,Python,23,404,Europe,USA,30,Yes,Eggs,Low
Bird,Turkey,96,256,Europe,India,50,No,Eggs,Medium
Bird,Peafowl,69,67,Asia,Brazil,86,No,Live,Critical
Insect,Ladybug,98,300,Australia,Kenya,43,No,Live,Medium
Fish,Trout,2,443,Australia,India,83,Yes,Eggs,High
Insect,Wasp,6,37,America,Australia,32,Yes,Live,High
Fish,Cod,75,228,Europe,Canada,72,No,Eggs,Medium
Fish,Guppy,119,135,Africa,Egypt,5,Yes,Eggs,Medium
Fish,Goldfish,26,460,Australia,India,32,No,Live,High
Bird,Parrot,69,388,Europe,USA,46,No,Eggs,High
Bird,Crow,20,306,Africa,USA,64,Yes,Eggs,Low
Insect,Caterpillar,112,168,America,China,23,No,Eggs,High
Fish,Herring,67,383,Africa,Canada,19,No,Live,High
Bird,Woodpecker,13,207,Australia,Russia,24,Yes,Eggs,High
Fish,Catfish,22,223,America,India,58,Yes,Eggs,High
Insect,Beetle,99,102,Europe,India,95,Yes,Eggs,Medium
Mammal,Sloth,120,276,Australia,Egypt,89,No,Eggs,High
Insect,Tick,19,391,America,Germany,20,Yes,Live,Low
Reptile,Rattlesnake,67,418,Australia,Canada,53,Yes,Eggs,Medium
Reptile,Turtle,62,114,Africa,Brazil,59,Yes,Eggs,Medium
